"ID","Process ID","Process Name","Host Name","Kernel Name","Context","Stream","Block Size","Grid Size","Device","CC","Section Name","Metric Name","Metric Unit","Metric Value","Rule Name","Rule Type","Rule Description","Estimated Speedup Type","Estimated Speedup"
"1","295466","parity-570fdcef06a98825","127.0.0.1","belief_couple","1","7","(1024, 1, 1)","(1, 1, 1)","0","8.7","Command line profiler metrics","launch__block_size","","1,024",
"1","295466","parity-570fdcef06a98825","127.0.0.1","belief_couple","1","7","(1024, 1, 1)","(1, 1, 1)","0","8.7","Command line profiler metrics","launch__grid_size","","1",
"1","295466","parity-570fdcef06a98825","127.0.0.1","belief_couple","1","7","(1024, 1, 1)","(1, 1, 1)","0","8.7","Command line profiler metrics","launch__registers_per_thread","register/thread","26",
"1","295466","parity-570fdcef06a98825","127.0.0.1","belief_couple","1","7","(1024, 1, 1)","(1, 1, 1)","0","8.7","Command line profiler metrics","launch__shared_mem_per_block_dynamic","Kbyte/block","8.19",
"1","295466","parity-570fdcef06a98825","127.0.0.1","belief_couple","1","7","(1024, 1, 1)","(1, 1, 1)","0","8.7","Command line profiler metrics","launch__shared_mem_per_block_static","byte/block","0",
"1","295466","parity-570fdcef06a98825","127.0.0.1","belief_couple","1","7","(1024, 1, 1)","(1, 1, 1)","0","8.7","Command line profiler metrics","sm__cycles_elapsed.avg","cycle","280,502",
"1","295466","parity-570fdcef06a98825","127.0.0.1","belief_couple","1","7","(1024, 1, 1)","(1, 1, 1)","0","8.7","Launch Statistics","Block Size","","1,024",
"1","295466","parity-570fdcef06a98825","127.0.0.1","belief_couple","1","7","(1024, 1, 1)","(1, 1, 1)","0","8.7","Launch Statistics","Function Cache Configuration","","CachePreferNone",
"1","295466","parity-570fdcef06a98825","127.0.0.1","belief_couple","1","7","(1024, 1, 1)","(1, 1, 1)","0","8.7","Launch Statistics","Grid Size","","1",
"1","295466","parity-570fdcef06a98825","127.0.0.1","belief_couple","1","7","(1024, 1, 1)","(1, 1, 1)","0","8.7","Launch Statistics","Registers Per Thread","register/thread","26",
"1","295466","parity-570fdcef06a98825","127.0.0.1","belief_couple","1","7","(1024, 1, 1)","(1, 1, 1)","0","8.7","Launch Statistics","Shared Memory Configuration Size","Kbyte","16.38",
"1","295466","parity-570fdcef06a98825","127.0.0.1","belief_couple","1","7","(1024, 1, 1)","(1, 1, 1)","0","8.7","Launch Statistics","Driver Shared Memory Per Block","Kbyte/block","1.02",
"1","295466","parity-570fdcef06a98825","127.0.0.1","belief_couple","1","7","(1024, 1, 1)","(1, 1, 1)","0","8.7","Launch Statistics","Dynamic Shared Memory Per Block","Kbyte/block","8.19",
"1","295466","parity-570fdcef06a98825","127.0.0.1","belief_couple","1","7","(1024, 1, 1)","(1, 1, 1)","0","8.7","Launch Statistics","Static Shared Memory Per Block","byte/block","0",
"1","295466","parity-570fdcef06a98825","127.0.0.1","belief_couple","1","7","(1024, 1, 1)","(1, 1, 1)","0","8.7","Launch Statistics","# SMs","SM","4",
"1","295466","parity-570fdcef06a98825","127.0.0.1","belief_couple","1","7","(1024, 1, 1)","(1, 1, 1)","0","8.7","Launch Statistics","Stack Size","","512",
"1","295466","parity-570fdcef06a98825","127.0.0.1","belief_couple","1","7","(1024, 1, 1)","(1, 1, 1)","0","8.7","Launch Statistics","Threads","thread","1,024",
"1","295466","parity-570fdcef06a98825","127.0.0.1","belief_couple","1","7","(1024, 1, 1)","(1, 1, 1)","0","8.7","Launch Statistics","# TPCs","","2",
"1","295466","parity-570fdcef06a98825","127.0.0.1","belief_couple","1","7","(1024, 1, 1)","(1, 1, 1)","0","8.7","Launch Statistics","Enabled TPC IDs","","all",
"1","295466","parity-570fdcef06a98825","127.0.0.1","belief_couple","1","7","(1024, 1, 1)","(1, 1, 1)","0","8.7","Launch Statistics","Uses Green Context","","0",
"1","295466","parity-570fdcef06a98825","127.0.0.1","belief_couple","1","7","(1024, 1, 1)","(1, 1, 1)","0","8.7","Launch Statistics","Waves Per SM","","0.25",
"1","295466","parity-570fdcef06a98825","127.0.0.1","belief_couple","1","7","(1024, 1, 1)","(1, 1, 1)","0","8.7","LaunchStats","","","","LaunchConfiguration","OPT","The grid for this launch is configured to execute only 1 block, which is less than the GPU's 4 multiprocessors. This can underutilize some multiprocessors. If you do not intend to execute this kernel concurrently with other workloads, consider reducing the block size to have at least one block per multiprocessor or increase the size of the grid to fully utilize the available hardware resources. See the Hardware Model (https://docs.nvidia.com/nsight-compute/ProfilingGuide/index.html#metrics-hw-model) description for more details on launch configurations.","global","75"
"1","295466","parity-570fdcef06a98825","127.0.0.1","belief_couple","1","7","(1024, 1, 1)","(1, 1, 1)","0","8.7","Occupancy","Block Limit SM","block","16",
"1","295466","parity-570fdcef06a98825","127.0.0.1","belief_couple","1","7","(1024, 1, 1)","(1, 1, 1)","0","8.7","Occupancy","Block Limit Registers","block","2",
"1","295466","parity-570fdcef06a98825","127.0.0.1","belief_couple","1","7","(1024, 1, 1)","(1, 1, 1)","0","8.7","Occupancy","Block Limit Shared Mem","block","1",
"1","295466","parity-570fdcef06a98825","127.0.0.1","belief_couple","1","7","(1024, 1, 1)","(1, 1, 1)","0","8.7","Occupancy","Block Limit Warps","block","1",
"1","295466","parity-570fdcef06a98825","127.0.0.1","belief_couple","1","7","(1024, 1, 1)","(1, 1, 1)","0","8.7","Occupancy","Theoretical Active Warps per SM","warp","32",
"1","295466","parity-570fdcef06a98825","127.0.0.1","belief_couple","1","7","(1024, 1, 1)","(1, 1, 1)","0","8.7","Occupancy","Theoretical Occupancy","%","66.67",
"1","295466","parity-570fdcef06a98825","127.0.0.1","belief_couple","1","7","(1024, 1, 1)","(1, 1, 1)","0","8.7","Occupancy","Achieved Occupancy","%","52.17",
"1","295466","parity-570fdcef06a98825","127.0.0.1","belief_couple","1","7","(1024, 1, 1)","(1, 1, 1)","0","8.7","Occupancy","Achieved Active Warps Per SM","warp","25.04",
"1","295466","parity-570fdcef06a98825","127.0.0.1","belief_couple","1","7","(1024, 1, 1)","(1, 1, 1)","0","8.7","Occupancy","","","","AchievedOccupancy","OPT","The difference between calculated theoretical (66.7%) and measured achieved occupancy (52.2%) can be the result of warp scheduling overheads or workload imbalances during the kernel execution. Load imbalances can occur between warps within a block as well as across blocks of the same kernel. See the CUDA Best Practices Guide (https://docs.nvidia.com/cuda/cuda-c-best-practices-guide/index.html#occupancy) for more details on optimizing occupancy.","local","21.74"
"1","295466","parity-570fdcef06a98825","127.0.0.1","belief_couple","1","7","(1024, 1, 1)","(1, 1, 1)","0","8.7","Occupancy","","","","TheoreticalOccupancy","OPT","The 8.00 theoretical warps per scheduler this kernel can issue according to its occupancy are below the hardware maximum of 12. This kernel's theoretical occupancy (66.7%) is limited by the required amount of shared memory, and the number of warps within each block.","local","33.33"
"2","295466","parity-570fdcef06a98825","127.0.0.1","belief_couple","1","7","(98, 1, 1)","(1, 1, 1)","0","8.7","Command line profiler metrics","gpu__time_duration.sum","us","108",
"2","295466","parity-570fdcef06a98825","127.0.0.1","belief_couple","1","7","(98, 1, 1)","(1, 1, 1)","0","8.7","Command line profiler metrics","launch__block_size","","98",
"2","295466","parity-570fdcef06a98825","127.0.0.1","belief_couple","1","7","(98, 1, 1)","(1, 1, 1)","0","8.7","Command line profiler metrics","launch__grid_size","","1",
"2","295466","parity-570fdcef06a98825","127.0.0.1","belief_couple","1","7","(98, 1, 1)","(1, 1, 1)","0","8.7","Command line profiler metrics","launch__registers_per_thread","register/thread","26",
"2","295466","parity-570fdcef06a98825","127.0.0.1","belief_couple","1","7","(98, 1, 1)","(1, 1, 1)","0","8.7","Command line profiler metrics","launch__shared_mem_per_block_dynamic","byte/block","148",
"2","295466","parity-570fdcef06a98825","127.0.0.1","belief_couple","1","7","(98, 1, 1)","(1, 1, 1)","0","8.7","Command line profiler metrics","launch__shared_mem_per_block_static","byte/block","0",
"2","295466","parity-570fdcef06a98825","127.0.0.1","belief_couple","1","7","(98, 1, 1)","(1, 1, 1)","0","8.7","Command line profiler metrics","sm__cycles_elapsed.avg","cycle","33,005",
"2","295466","parity-570fdcef06a98825","127.0.0.1","belief_couple","1","7","(98, 1, 1)","(1, 1, 1)","0","8.7","Launch Statistics","Block Size","","98",
"2","295466","parity-570fdcef06a98825","127.0.0.1","belief_couple","1","7","(98, 1, 1)","(1, 1, 1)","0","8.7","Launch Statistics","Function Cache Configuration","","CachePreferNone",
"2","295466","parity-570fdcef06a98825","127.0.0.1","belief_couple","1","7","(98, 1, 1)","(1, 1, 1)","0","8.7","Launch Statistics","Grid Size","","1",
"2","295466","parity-570fdcef06a98825","127.0.0.1","belief_couple","1","7","(98, 1, 1)","(1, 1, 1)","0","8.7","Launch Statistics","Registers Per Thread","register/thread","26",
"2","295466","parity-570fdcef06a98825","127.0.0.1","belief_couple","1","7","(98, 1, 1)","(1, 1, 1)","0","8.7","Launch Statistics","Shared Memory Configuration Size","Kbyte","16.38",
"2","295466","parity-570fdcef06a98825","127.0.0.1","belief_couple","1","7","(98, 1, 1)","(1, 1, 1)","0","8.7","Launch Statistics","Driver Shared Memory Per Block","Kbyte/block","1.02",
"2","295466","parity-570fdcef06a98825","127.0.0.1","belief_couple","1","7","(98, 1, 1)","(1, 1, 1)","0","8.7","Launch Statistics","Dynamic Shared Memory Per Block","byte/block","148",
"2","295466","parity-570fdcef06a98825","127.0.0.1","belief_couple","1","7","(98, 1, 1)","(1, 1, 1)","0","8.7","Launch Statistics","Static Shared Memory Per Block","byte/block","0",
"2","295466","parity-570fdcef06a98825","127.0.0.1","belief_couple","1","7","(98, 1, 1)","(1, 1, 1)","0","8.7","Launch Statistics","# SMs","SM","4",
"2","295466","parity-570fdcef06a98825","127.0.0.1","belief_couple","1","7","(98, 1, 1)","(1, 1, 1)","0","8.7","Launch Statistics","Stack Size","","512",
"2","295466","parity-570fdcef06a98825","127.0.0.1","belief_couple","1","7","(98, 1, 1)","(1, 1, 1)","0","8.7","Launch Statistics","Threads","thread","98",
"2","295466","parity-570fdcef06a98825","127.0.0.1","belief_couple","1","7","(98, 1, 1)","(1, 1, 1)","0","8.7","Launch Statistics","# TPCs","","2",
"2","295466","parity-570fdcef06a98825","127.0.0.1","belief_couple","1","7","(98, 1, 1)","(1, 1, 1)","0","8.7","Launch Statistics","Enabled TPC IDs","","all",
"2","295466","parity-570fdcef06a98825","127.0.0.1","belief_couple","1","7","(98, 1, 1)","(1, 1, 1)","0","8.7","Launch Statistics","Uses Green Context","","0",
